Model,Metric,Paper Result,Replication Result,Difference
XGBoost,Accuracy,0.9065,0.8867,-0.0198
XGBoost,Precision,0.9001,0.6114,-0.2887
XGBoost,F1-Score,0.898,0.6672,-0.2308
XGBoost,TPR (Recall),0.801,0.7343,-0.0667
XGBoost,TNR,0.96,0.9146,-0.0454
XGBoost,auROC,0.937,0.923,-0.014
XGBoost,auPR,0.749,0.7051,-0.0439
XGBoost,MCC,0.599,0.6033,0.0043
Decision Tree,Accuracy,0.9054,0.8662,-0.0392
Decision Tree,Precision,0.899,0.547,-0.352
Decision Tree,F1-Score,0.8998,0.6441,-0.2557
Decision Tree,TPR (Recall),0.76,0.7832,0.0232
Decision Tree,TNR,0.93,0.8814,-0.0486
Decision Tree,auROC,0.923,0.9091,-0.0139
Decision Tree,auPR,0.731,0.6453,-0.0857
Decision Tree,MCC,0.605,0.5787,-0.0263
