param_clf__max_depth,param_clf__learning_rate,param_clf__n_estimators,mean_test_score,std_test_score,rank_test_score
3,0.1,100,0.6357724139015533,0.025673060278407774,1
3,0.05,200,0.6318473320856735,0.028465785615225742,2
2,0.1,200,0.6312525997305974,0.021777561134690697,3
3,0.1,50,0.6258925545688182,0.024950135418568713,4
3,0.1,200,0.6254939176860217,0.022806974479698865,5
2,0.3,50,0.6244172931667091,0.025322578607696548,6
3,0.05,100,0.624212257583472,0.025389373043470352,7
2,0.1,100,0.6241605666836884,0.02472042176709547,8
2,0.05,200,0.6233478072729431,0.025892153285510585,9
3,0.05,50,0.6232122621325481,0.021240541104337585,10
